Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:15,7547.05,7547.05,7519.8,7519.8,61,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:16,7520.05,7524.05,7519.2,7523.45,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:17,7524.1,7526.05,7522.4,7522.65,59,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:18,7523.15,7527.05,7523.15,7525.45,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:19,7525.8,7528.2,7525.35,7526.8,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:20,7526.8,7526.8,7516.95,7517.55,61,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:21,7517.15,7517.45,7510.05,7517.1,59,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:22,7517.15,7524.35,7515.45,7524.35,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:23,7524.2,7524.3,7517.65,7522.1,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:24,7522,7524.6,7519.15,7521.05,61,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:25,7520.85,7526.7,7520.3,7526.7,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:26,7526.35,7529.5,7523.2,7523.2,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:27,7523.5,7526.2,7523.1,7526.2,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:28,7526.45,7526.8,7521.55,7525.35,59,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:29,7525,7525.55,7523.4,7523.75,61,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:30,7523.85,7525.75,7520.95,7521,59,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:31,7520.8,7521.9,7518.45,7519.25,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:32,7519.8,7522.75,7519.75,7522.15,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:33,7522.35,7523.35,7520.05,7520.05,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:34,7519.95,7520.5,7517.35,7519,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:35,7519.4,7519.55,7516.65,7516.65,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:36,7516.05,7516.05,7511.1,7513.1,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:37,7513.05,7513.05,7510.95,7512.7,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:38,7512.15,7515.65,7512.05,7512.6,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:39,7512.65,7516.15,7512.05,7515.75,59,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:40,7516.05,7519.45,7515.15,7519.45,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:41,7519.35,7519.55,7513.3,7514.75,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:42,7514.8,7515.55,7512.25,7512.65,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:43,7512.75,7512.85,7510.5,7512.65,59,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:44,7512.5,7512.6,7510.8,7511.85,61,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:45,7512.3,7512.3,7505.65,7505.65,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:46,7505.15,7506.7,7501.95,7503.55,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:47,7503.25,7506.45,7502.55,7502.55,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:48,7502.75,7504.15,7499.8,7503.35,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:49,7503.5,7506.25,7501.5,7504.5,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:50,7504.4,7505.95,7503.4,7505.75,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:51,7505.55,7507.9,7505.55,7507.65,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:52,7507.55,7508.05,7506.4,7507.15,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:53,7507.45,7509.9,7507.45,7509.6,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:54,7509,7509.8,7507.4,7508.1,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:55,7507.8,7508.55,7507.3,7508.25,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:56,7508.1,7509.55,7507.65,7508.4,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:57,7508.35,7509.15,7506.45,7506.85,60,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:58,7506.7,7506.7,7500.6,7501.15,59,0,0,,,,,,,,,,,,,,,,,,,,
3/10/2016 9:59,7501.4,7501.5,7496.4,7496.95,60,0,0,,,,,,,,,,,,,,,,,,,,
